"CUSIP","Security Type","Security Term","Auction Date","Issue Date","Maturity Date","Price per $100"
"91282CGQ8","Note","7-Year","02/23/2023","02/28/2023","02/28/2030",""
"91282CGP0","Note","5-Year","02/22/2023","02/28/2023","02/29/2028",""
"91282CGF2","Note","1-Year 11-Month","02/22/2023","02/24/2023","01/31/2025",""
"91282CGN5","Note","2-Year","02/21/2023","02/28/2023","02/28/2025",""
"912796ZF9","Bill","13-Week","02/21/2023","02/23/2023","05/25/2023",""
"912796Z44","Bill","26-Week","02/21/2023","02/23/2023","08/24/2023",""
"912796Z28","Bill","52-Week","02/21/2023","02/23/2023","02/22/2024",""
"912810TP3","Bond","30-Year","02/16/2023","02/28/2023","02/15/2053","98.663518"
"912796Z77","Bill","4-Week","02/16/2023","02/21/2023","03/21/2023","99.649222"
"912796CU1","Bill","8-Week","02/16/2023","02/21/2023","04/18/2023","99.276667"
"912810TQ1","Bond","20-Year","02/15/2023","02/28/2023","02/15/2043","98.601167"
"912797FP7","Bill","17-Week","02/15/2023","02/21/2023","06/20/2023","98.413333"
"912796Y78","Bill","12-Day","02/14/2023","02/16/2023","02/28/2023","99.848667"
"912796W47","Bill","13-Week","02/13/2023","02/16/2023","05/18/2023","98.817000"
"912796Z36","Bill","26-Week","02/13/2023","02/16/2023","08/17/2023","97.553111"
"912810TN8","Bond","30-Year","02/09/2023","02/15/2023","02/15/2053","98.898317"
"912796Z69","Bill","4-Week","02/09/2023","02/14/2023","03/14/2023","99.648444"
"912796CT4","Bill","8-Week","02/09/2023","02/14/2023","04/11/2023","99.284444"
"91282CGM7","Note","10-Year","02/08/2023","02/15/2023","02/15/2033","99.058658"
"912797FN2","Bill","17-Week","02/08/2023","02/14/2023","06/13/2023","98.446389"
"91282CGL9","Note","3-Year","02/07/2023","02/15/2023","02/15/2026","99.795799"
"912796ZE2","Bill","13-Week","02/06/2023","02/09/2023","05/11/2023","98.839750"
"912796XY0","Bill","26-Week","02/06/2023","02/09/2023","08/10/2023","97.596083"
"912796Y86","Bill","4-Week","02/02/2023","02/07/2023","03/07/2023","99.650778"
"912796Z93","Bill","8-Week","02/02/2023","02/07/2023","04/04/2023","99.299222"
"912797FM4","Bill","17-Week","02/01/2023","02/07/2023","06/06/2023","98.471181"
"912796YW3","Bill","13-Week","01/30/2023","02/02/2023","05/04/2023","98.838486"
"912796Y37","Bill","26-Week","01/30/2023","02/02/2023","08/03/2023","97.634000"
"912796Y78","Bill","4-Week","01/26/2023","01/31/2023","02/28/2023","99.650000"
"912796Z85","Bill","8-Week","01/26/2023","01/31/2023","03/28/2023","99.296111"
"91282CGJ4","Note","7-Year","01/26/2023","01/31/2023","01/31/2030","99.895326"
"912797FG7","Bill","17-Week","01/25/2023","01/31/2023","05/30/2023","98.472833"
"91282CGF2","Note","2-Year","01/25/2023","01/31/2023","01/31/2025","100.000000"
"91282CGH8","Note","5-Year","01/25/2023","01/31/2023","01/31/2028","99.863589"
"91282CGG0","Note","2-Year","01/24/2023","01/31/2023","01/31/2025","99.973391"
"912796ZY8","Bill","52-Week","01/24/2023","01/26/2023","01/25/2024","95.480333"
"912796YV5","Bill","13-Week","01/23/2023","01/26/2023","04/27/2023","98.843542"
"912796Y29","Bill","26-Week","01/23/2023","01/26/2023","07/27/2023","97.631472"
"91282CGK1","Note","10-Year","01/19/2023","01/31/2023","01/15/2033","99.060103"
"912796Y60","Bill","4-Week","01/19/2023","01/24/2023","02/21/2023","99.651556"
